Symbol,Company Name,Sector Index
SWARAJENG,Swaraj Engines Ltd.,
TATAELXSI,Tata Elxsi Ltd,NIFTY IT
ACC,ACC Ltd,NIFTY CONST MAT
THERMAX,Thermax Ltd.,
TIRUMALCHM,Thirumalai Chemicals Ltd.,NIFTY CHEMICALS
THOMASCOOK,Thomas Cook (India) Ltd.,NIFTY SERVICES
TIMEX,Timex Group India Ltd,NIFTY CONSUMER DURABLES
TOKYOPLAST,Tokyo Plast International Ltd.,NIFTY CONSUMER DURABLES
TORNTPHARM,Torrent Pharmaceuticals Ltd.,NIFTY PHARMA
TPINDIA,TPI India Ltd.,
TRANSCHEM,Transchem Limited.,NIFTY PHARMA
AMBUJACEM,Ambuja Cements Ltd.,NIFTY CONST MAT
UTLINDS,UTL Industries Limited,NIFTY REALTY
UNIENTER,Uniphos Enterprises Limited.,NIFTY CHEMICALS
VHL,Vardhman Holdings Limited,NIFTY FINANCIAL SERVICES
HINDALCO,Hindalco Industries Ltd.,NIFTY METAL
WSTCSTPAPR,West Coast Paper Mills Limited,
HOCL,Hindustan Organic Chemicals Ltd.,NIFTY CHEMICALS
MPILCORPL,MPIL CORPORATION LIMITED,NIFTY FINANCIAL SERVICES
PASUPTAC,Pasupati Acrylon Ltd.,NIFTY CHEMICALS
KORE,Kore Foods Limited,NIFTY FMCG
PGHH,Procter & Gamble Hygiene & Health Care Ltd.,NIFTY FMCG
MUKANDLTD,Mukand Ltd.,NIFTY METAL
BBOX,BLACK BOX LIMITED,NIFTY IT
UCAL,UCAL LIMITED,NIFTY AUTO
HARRMALAYA,Harrisons Malayalam Ltd.,
FEDERALBNK,Federal Bank Ltd.,NIFTY FINANCIAL SERVICES
TATASTEEL,TATA STEEL LIMITED,NIFTY METAL
SKFINDIA,SKF India Ltd.,
ASHOKLEY,Ashok Leyland Ltd.,
CUMMINSIND,Cummins India Ltd.,
TATACOMM,Tata Communications Limited,NIFTY TELECOM
ABBOTINDIA,Abbott India Ltd.,NIFTY PHARMA
BAJAJHLDNG,Bajaj Holdings & Investment Limited,NIFTY FINANCIAL SERVICES
BHARATFORG,Bharat Forge Ltd,NIFTY AUTO
ESCORTS,Escorts Kubota Limited,
HINDMOTORS,Hindustan Motors Ltd.,NIFTY AUTO
LT,Larsen & Toubro Limited,
M&M,Mahindra & Mahindra Ltd.,NIFTY AUTO
BOSCHLTD,Bosch Ltd,NIFTY AUTO
PREMIER,Premier Limited,
BPCL,Bharat Petroleum Corpn. Ltd.,NIFTY ENERGY
SIEMENS,Siemens Ltd.,
TATAMOTORS,Tata Motors Ltd.,NIFTY AUTO
VOLTAS,Voltas Ltd.,NIFTY CONSUMER DURABLES
GESHIP,Great Eastern Shipping Co. Ltd.,NIFTY SERVICES
DEEPAKFERT,Deepak Fertilizers &Petrochemicals,NIFTY CHEMICALS
EXCELINDUS,Excell Industries Ltd.,NIFTY CHEMICALS
GRWRHITECH,GARWARE HI-TECH FILMS LIMITED,
GLAXO,GlaxoSmithkline Pharmaceuticals Ltd.,NIFTY PHARMA
GNFC,Gujarat Narmada Valley Fert.Co.Ltd,NIFTY CHEMICALS
NOVARTIND,Novartis India Limited.,NIFTY PHARMA
SANOFI,Sanofi India Ltd,NIFTY PHARMA
PFIZER,Pfizer Ltd.,NIFTY PHARMA
GSFC,Gujarat State Fertilizers & Chem.Ltd,NIFTY CHEMICALS
HINDUNILVR,Hindustan Unilever Ltd.,NIFTY FMCG
AKZOINDIA,Akzo Nobel India Limited,NIFTY CONSUMER DURABLES
NOCIL,NOCIL Ltd,NIFTY CHEMICALS
TATACHEM,Tata Chemicals Ltd,NIFTY CHEMICALS
TNPETRO,Tamilnadu Petroproducts Ltd,NIFTY CHEMICALS
ZUARIIND,Zuari Industries Limited,NIFTY FMCG
NESTLEIND,Nestle India Ltd.,NIFTY FMCG
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,NIFTY FMCG
ASIANPAINT,Asian Paints Ltd.,NIFTY CONSUMER DURABLES
BRITANNIA,Britannia Industries Ltd.,NIFTY FMCG
COLPAL,Colgate-Palmolive (India) Ltd.,NIFTY FMCG
EIHOTEL,EIH Ltd,NIFTY SERVICES
INDHOTEL,Indian Hotels Co. Ltd,NIFTY SERVICES
CASTROLIND,Castrol India Ltd,NIFTY ENERGY
ITC,ITC Ltd,NIFTY FMCG
APOLLOTYRE,Apollo Tyres Ltd,NIFTY AUTO
CEATLTD,Ceat Ltd.,NIFTY AUTO
MODIRUBBER,Modi Rubber Ltd.,NIFTY AUTO
FINPIPE,Finolex Industries Ltd.,
SUNRINV,Sunrise Industrial Traders Ltd.,NIFTY FINANCIAL SERVICES
ZGOLDINV,Gold Rock Investments Ltd.,NIFTY SERVICES
DSINVEST,Dalal Street Investments Ltd.,NIFTY FINANCIAL SERVICES
CENTRUM,Centrum Capital Limited,NIFTY FINANCIAL SERVICES
TCIFINANCE,TCI Finance Limited,NIFTY FINANCIAL SERVICES
LORDSMARK,LORDS MARK INDIA LIMITED,NIFTY SERVICES
ANTARIKSH,ANTARIKSH INDUSTRIES LIMITED,NIFTY REALTY
IITL,Industrial Investment Trust Ltd.,NIFTY FINANCIAL SERVICES
INDPRUD,Industrial & Prudential Inv. Co. Lt,NIFTY FINANCIAL SERVICES
TATAINVEST,Tata Investment Corporation Ltd.,NIFTY FINANCIAL SERVICES
JAYBHCR,Jayabharat Credit Ltd.,NIFTY FINANCIAL SERVICES
PRISMX,PRISMX GLOBAL VENTURES LIMITED,NIFTY SERVICES
MOTOGENFIN,Motor & General Finance (M.G.F.) Lt,NIFTY SERVICES
RAPIDIN,Rapid Investments Ltd.,NIFTY SERVICES
WALCHPF,Walchand Peoplefirst Limited,NIFTY SERVICES
ZSWASTSA,Swastik Safe Deposit & Invest. Ltd.,NIFTY FINANCIAL SERVICES
WHBRADY,W.H. Brady & Co. Ltd.,
TECHNVISN,TechNVision Ventures Limited,NIFTY IT
SHAILY,Shaily Engineering Plastics Ltd.,
BBTC,Bombay Burmah Trading Corpn. Ltd.,NIFTY FMCG
BOMBCYC,Bombay Cycle & Motor Agency Ltd.,NIFTY SERVICES
GREAVESCOT,Greaves Cotton Ltd.,
MULLER,Muller & Phipps (India) Ltd.,NIFTY SERVICES
SFTL,SPRINGFORM TECHNOLOGY LIMITED,NIFTY SERVICES
AMALGAM,Amalgamated Electricity Co. Ltd.,NIFTY SERVICES
ANANDPROJ,Anand Projects Ltd,
INDIANVSH,India Nivesh Limited,NIFTY FINANCIAL SERVICES
COASTCORP,Coastal Corporation Limited,NIFTY FMCG
CHOWGULSTM,Chowgule Steamships Ltd.,NIFTY SERVICES
GLOBOFFS,Global Offshore Services Ltd,NIFTY SERVICES
DHENUBUILD,Dhenu Buildcon Infra Limited,NIFTY FINANCIAL SERVICES
ASIIL,ASI INDUSTRIES LIMITED,NIFTY METAL
SAGCEM,Sagar Cements Ltd,NIFTY CONST MAT
HEMACEM,Hemadri Cements Limited,NIFTY CONST MAT
DECCANCE,Deccan Cements Ltd.,NIFTY CONST MAT
MANGLMCEM,Mangalam Cement Ltd.,NIFTY CONST MAT
NCLIND,NCL Industries Limited,NIFTY CONST MAT
SAURASHCEM,Saurashtra Cement Limited,NIFTY CONST MAT
SHREDIGCEM,Shree Digvijay Cement Co. Ltd.,NIFTY CONST MAT
BORORENEW,BOROSIL RENEWABLES LIMITED,
LERTHAI,LERTHAI FINANCE LIMITED,NIFTY CONST MAT
TRIVENIGQ,Triveni Glass Ltd.,NIFTY CONST MAT
NILACHAL,Nilachal Refractories Ltd.,
ANDHRAPAP,ANDHRA PAPER LIMITED,
BALKRISIND,Balkrishna Industries Ltd.,NIFTY AUTO
ORIENTPPR,Orient Paper & Industries Ltd.,
CITADEL,Citadel Realty And Developers Limited,NIFTY REALTY
ROLLT,Rollatainters Ltd.,
SESHAPAPER,Seshasayee Paper & Boards Ltd.,
NATHIND,NATH INDUSTRIES LIMITED,
VAPIENTER,VAPI ENTERPRISE LIMITED,
DCM,DCM Ltd.,NIFTY IT
ZGAEKWAR,Gaekwar Mills Ltd.,
FORBESCO,Forbes & Company Ltd,NIFTY CONSUMER DURABLES
HPCOTTON,H.P. Cotton Textile Mills Ltd.,
UNITEDINT,United Interactive Limited,NIFTY IT
JAMSHRI,JAMSHRI REALTY LIMITED,NIFTY REALTY
KATRSPG,Katare Spinning Mills Ltd.,
KESORAMIND,Kesoram Industries Ltd,NIFTY CONST MAT
LAKSHMIMIL,Lakshmi Mills Company ltd,
VTL,Vardhman Textiles Limted,
PENINLAND,Peninsula Land Limited,NIFTY REALTY
PASUSPG,Pasupati Spg. & Wvg. Mills Ltd.,
PHOENIXLTD,The Phoenix Mills Ltd.,NIFTY REALTY
MARATHON,Marathon Nextgen Realty Ltd,NIFTY REALTY
RAJABAH,Raja Bahadur International Ltd,NIFTY REALTY
RELCHEMQ,Reliance Chemotex Industries Ltd.,
RUBYMILLS,Ruby Mills Ltd.,
SIMPLXREA,Simplex Realty Limited,NIFTY REALTY
SWANENERGY,Swan Energy Ltd.,NIFTY CHEMICALS
VICTMILL,Victoria Mills Ltd.,NIFTY REALTY
ZSVTRADI,S.V. Trading & Agencies Ltd.,NIFTY FINANCIAL SERVICES
ZSVARAJT,Svaraj Trading & Agencies Ltd.,NIFTY FINANCIAL SERVICES
KSHITIJ,Kshitij Investments Ltd,NIFTY FINANCIAL SERVICES
SALSAIN,Shree Salasar Investment Ltd.,NIFTY FINANCIAL SERVICES
INDSOYA,Indsoya Limited,NIFTY SERVICES
ZODIACVEN,Zodiac Ventures Limited,NIFTY SERVICES
VEERENRGY,Veer Energy & Infrastructure Limited,
TILAK,Tilak Ventures Limited,NIFTY FINANCIAL SERVICES
UNIJOLL,Unijolly Investments Co. Ltd.,NIFTY FINANCIAL SERVICES
WAGEND,Wagend Infra Venture Limited,NIFTY SERVICES
ELCIDIN,Elcid Investments Ltd.,NIFTY FINANCIAL SERVICES
MEDIAONE,Mediaone Global Entertainment Limited,NIFTY MEDIA
HEALINV,Healthy Investments Ltd.,NIFTY FINANCIAL SERVICES
SHRENTI,Shreenath Investments Co. Ltd.,NIFTY SERVICES
BANSWRAS,Banswara Syntex Ltd.,
MODWOOL,Modella Woollens Ltd.,NIFTY SERVICES
MODIPON,Modipon Ltd.,NIFTY REALTY
SHRIDINE,Shri Dinesh Mills Ltd.,
SRF,SRF Ltd.,NIFTY CHEMICALS
SIYSIL,Siyaram Silk Mills Ltd.,
SWADPOL,Swadeshi Polytex Ltd.,
SHRAJSYNQ,Shree Rajasthan Syntex Ltd.,
SHRMFGC,Shree Manufacturing Co. Ltd.,
ZSATYASL,Satyam Silk Mills Ltd,NIFTY FINANCIAL SERVICES
BBL,Bharat Bijlee Ltd.,
ELPROINTL,Elpro International Ltd.,NIFTY REALTY
GEE,GEE Ltd.,
HIRECT,Hind Rectifiers Ltd.,
NIPPOBATRY,Indo National Limited,NIFTY FMCG
ZENSARTECH,Zensar Technologies Ltd.,NIFTY IT
JYOTI,Jyoti Ltd.,
JSLINDL,JSL Industries Ltd.,
KAYCEEI,Kaycee Industries Ltd.,
INDOKEM,Indokem Ltd,NIFTY CHEMICALS
PANAENERG,Panasonic Energy India Co. Ltd.,NIFTY FMCG
NELCO,Nelco Ltd,NIFTY IT
PERMAGN,Permanent Magnets Ltd.,
HIGHENE,High Energy Batteries (India) Ltd.,NIFTY FMCG
STDBAT,Standard Batteries Ltd.,NIFTY FINANCIAL SERVICES
UNIVCABLES,Universal Cables Ltd.,
WSI,W.S. Industries (India) Ltd.,
DLTNCBL,Delton Cables Ltd.,
LAKSELEC,Lakshmi Electrical Control Systems,
MODULEX,MODULEX CONSTRUCTION TECHNOLOGIES LIMITED,
DELTAMAGNT,DELTA MANUFACTURING LIMITED ,
LONGSPUR,Longspur International Ventures Limited,NIFTY FINANCIAL SERVICES
RELTD,RAVINDRA ENERGY LIMITED,
RRP,RRP SEMICONDUCTOR LIMITED,NIFTY FINANCIAL SERVICES
EMPOWER,Empower India Limited,NIFTY IT
ZMULTIPU,Multipurpose Trading & Agencies Ltd,NIFTY SERVICES
RIDHISYN,Ridhi Synthetics Ltd.,NIFTY FINANCIAL SERVICES
GRANDMA,Grandma Trading & Agencies Ltd.,NIFTY SERVICES
ZARDIINV,Ardi Investment & Trading Ltd.,NIFTY SERVICES
SOFTBPO,Softbpo Global Services Ltd.,NIFTY IT
NYSSACORP,Nyssa Corporation Limited,NIFTY SERVICES
FLOMIC,FLOMIC GLOBAL LOGISTICS LIMITED,NIFTY SERVICES
KRISHNA,Krishna Ventures Limited,NIFTY REALTY
UNIABEXAL,Uni-Abex Alloy Products Ltd.,
SARDAEN,Sarda Energy & Minerals Ltd,NIFTY METAL
BGWTATO,Bhagwati Autocast Limited,NIFTY AUTO
BOMBWIR,Bombay Wire Ropes Ltd.,
AZADIND,AZAD INDIA MOBILITY LIMITED,
INDIANHUME,Indian Hume Pipe Co. Ltd.,
INLCM,Indian Link Chain Mnfrs. Ltd.,
INVPRECQ,Investment & Precision Castings Ltd,
INFORTEC,Informed Technologies India Ltd.,NIFTY SERVICES
KAIRA,Kaira Can Co. Ltd.,
ORIENTCER,ORIENT CERATECH LIMITED,
NATIONSTD,National Standard (India) Limited,NIFTY REALTY
RATHIST,Rathi Steel & Power Ltd,
DUNCANENG,Duncan Engineering Limited,NIFTY AUTO
SANDUMA,Sandur Manganese & Iron Ores Ltd.,NIFTY ENERGY
STOVACQ,Stovec Industries Ltd.,
CHOLAHLDNG,CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED,NIFTY FINANCIAL SERVICES
ZWELCAST,Welcast Steels Ltd.,
WMINIMT,Western Ministil Ltd.,
AUTOAXLES,Automotive Axles Ltd.,NIFTY AUTO
ATLASCYCLE,Atlas Cycles (Haryana) Ltd.,NIFTY CONSUMER DURABLES
AUTOPRD,Automobile Products of India Ltd.,NIFTY AUTO
ACGL,Automobile Corpn. of Goa Ltd.,NIFTY AUTO
SETCO,Setco Automotive Limited,NIFTY AUTO
INRADIA,India Radiators Ltd.,NIFTY AUTO
TALBROAUTO,Talbros Automotive Components Ltd.,NIFTY AUTO
ZFSTEERING,Z.F. Steering Gear (India) Limited,NIFTY AUTO
SMLISUZU,SML ISUZU LIMITED,
TIL,TIL Ltd.,
EICHERMOT,Eicher Motors Ltd.,NIFTY AUTO
JAINEX,JAINEX AAMCOL LTD.,NIFTY AUTO
ALFREDHE,Alfred Herbert (India) Ltd.,NIFTY FINANCIAL SERVICES
VELJAN,Veljan Denison Limited,NIFTY AUTO
DYNAMATECH,Dynamatic Technologies Ltd.,
GGDPROP,G. G. Dandekar Properties Limited,
GMMPFAUDLR,GMM Pfaudler Ltd.,
KIRLPNU,Kirloskar Pneumatic Co.Ltd.,
TULIVE,Tulive Developers Limited,
KPT,KPT INDUSTRIES LIMITED,
LAKSHMIEW,LAKSHMI ENGINEERING AND WAREHOUSING LIMITED,
MANUGRAPH,Manugraph India Ltd,
HARSHILAGR,HARSHIL AGROTECH LIMITED,
MONOT,Monotype India Ltd.,NIFTY SERVICES
NESCO,Nesco Ltd,NIFTY SERVICES
INTEGRAEN,Integra Engineering India Ltd.,
SEMAC,Semac Construction Limited,
TEXINFRA,Texmaco Infrastructure & Holdings Ltd,NIFTY SERVICES
WENDT,Wendt (India) Ltd.,
PSITINFRA,PS IT Infrastructure & Services Limited,NIFTY FINANCIAL SERVICES
GHVINFRA,GHV INFRA PROJECTS LIMITED,
RESPONIND,Responsive Industries Ltd,NIFTY CONSUMER DURABLES
SHYMINV,Shyamkamal Investments Ltd.,NIFTY FINANCIAL SERVICES
ZHEMHOLD,HEM Holdings and Trading Ltd.,NIFTY SERVICES
MAHACORP,Maharashtra Corporation Ltd.,NIFTY SERVICES
DOLATALGO,DOLAT ALGOTECH LIMITED,NIFTY FINANCIAL SERVICES
